Time,Angle_Hip_Knee_Left,Angle_Hip_Knee_Right,Angle_Shoulder_Elbow_Left,Angle_Shoulder_Elbow_Right,Angular_Velocity_Hip_Knee_Left,Angular_Velocity_Hip_Knee_Right,Angular_Acceleration_Hip_Knee_Left,Angular_Acceleration_Hip_Knee_Right,Angular_Velocity_Shoulder_Elbow_Left,Angular_Velocity_Shoulder_Elbow_Right,Angular_Acceleration_Shoulder_Elbow_Left,Angular_Acceleration_Shoulder_Elbow_Right
0.0605320930480957,159.2847300260969,173.3610359583208,282.72270739454615,75.88470542980977,,,,,,,,
0.41452860832214355,160.89766497282832,173.66795836145815,281.34957089781653,75.22914099490283,4.556358260992395,0.8670209730729812,,,-3.878954841311348,-1.8518951645595367,,
0.5220851898193359,161.0597989356372,174.59802641777586,279.9681481210665,76.6196756140069,1.507429490152572,8.64724448630776,-28.347207845383327,72.33609886939249,-12.843684296400536,12.928401030859812,-83.34896228849742,137.41879845637496
0.6166067123413086,160.6148983726965,175.07821359535424,279.8228175832201,75.65424566622491,-4.706870467911326,5.080188773586051,-65.74481443228244,-37.73802640443615,-1.5375391124558042,-10.213863700275871,119.61450558857094,-244.83592851306418
0.710458517074585,160.43025699737765,175.19002708747928,278.50465047590865,75.03163024853627,-1.9673716008295383,1.1913835055469362,29.189623735711322,-41.435593903505286,-14.045197224045431,-6.634027118158113,-133.27029935264395,38.14350285848558
0.803400993347168,160.45329799115245,175.26658607158313,277.33427809595673,74.66226072784474,0.2479059596736409,0.8237243849552865,23.834931554934926,-3.9557706587607346,-12.59243810676433,-3.974173440443344,15.630733928590715,28.61827857818112
0.8977723121643066,157.2928623344758,173.34443161472328,283.26379037203185,71.58638755501053,-33.4893662215376,-20.367994015050016,-357.49497415187386,-224.5567685778351,62.831719958948625,-32.59330495099112,799.227551454068,-303.2609045763413
0.9932944774627686,156.68677816870212,172.76334239426305,284.71626133123465,71.20969684777073,-6.344958407087674,-6.083291963122877,284.16868199790486,149.54332334588682,15.205590814074505,-3.943490037760567,-498.5872022065751,299.9284493155419
1.088038682937622,155.95097180505974,172.54588539232782,285.496475301514,70.88174004913644,-7.766241322670396,-2.295201071615366,-15.00126481043689,39.98229625254417,8.234951851345068,-3.461497164819586,-73.5732483880457,5.087307139526424
1.167161464691162,155.9992140746831,172.3592928439117,286.0626078425406,70.15958309836061,0.6097140236250606,-2.3582657773248337,105.86022332209912,-0.7970486415139968,7.155114222223046,-9.127041981730072,-13.647619625983491,-71.60446955161562
1.2613286972045898,156.36910627205654,172.511362868079,288.0234597860714,68.69105481679132,3.9280351296370646,1.6148932076305507,35.23859645698762,42.19258524337363,20.82308135424032,-15.594896891122794,145.14568143508194,-68.68477215224989
1.3561875820159912,156.40893893098726,172.62316281045892,288.4746371400522,67.69872178907416,0.4199148979024545,1.178592206752151,-36.982516068046365,-4.599474279566476,4.756300423285139,-10.461150051364449,-169.37560422409757,54.11983126267267
1.4501872062683105,158.26952354773528,172.47675180571613,296.1072697651406,65.88591178213315,19.79353249065893,-1.5575701063419463,206.10313867588096,-29.108226068537565,81.19854399205272,-19.285289929191155,813.2186078060993,-93.87420373235142
1.5749459266662598,158.9795233066139,172.33388054855772,298.7858594984682,65.71691223363854,5.690983015968068,-1.145180526881767,-113.03858703990585,3.305497027740901,21.47016036060308,-1.3546111081898287,-478.751172190056,143.72284970386784
1.6670703887939453,159.38290496110963,172.19782447720038,299.9495008023936,65.74556681686097,4.378659534930321,-1.4768723552356313,-14.245114171943294,-3.600475060512546,12.631186951328452,0.31104206809607027,-95.94599745965097,18.080465685403784
1.7615389823913574,160.4682023016721,172.1219710042702,300.0222289699108,65.80520786461392,11.48844604575766,-0.8029491076521049,75.2608485008938,7.133833816300066,0.7698660977974715,0.6313320171475618,-125.55835121330642,3.390438418258252
1.8569765090942383,160.95166308347024,171.95659470330895,300.1381894986761,65.56513784158994,5.065730415492166,-1.7328225769732764,-67.29759091788806,-9.743268727154708,1.2150412188102002,-2.515467775808656,4.664571017212779,-32.97235271774105
1.9509201049804688,163.33886112867808,172.2858188580763,302.29478683343933,64.34084545078328,25.4109715802111,3.5044874710359575,216.56868648457797,55.74951649021217,22.956299622327982,-13.032207030794684,231.42885045455716,-111.94737816638644
2.060950756072998,164.24213415207058,172.51547646234832,303.12856862842625,63.71165919766048,8.209285452949846,2.087214807798217,-156.335402512484,-12.880707777016584,7.577722995438404,-5.7182816503892875,-139.76629670178997,66.4717086355766
2.1564838886260986,165.4003452576846,172.90856565137517,302.6772997943014,62.11528952358744,12.123658825593745,4.114689621512832,40.97398743277005,21.22273979226709,-4.723689279988967,-16.710115448017174,-128.76592598478675,-115.05781820268743
2.2660393714904785,165.8707918393801,173.17359546621938,302.027572566377,61.685340925031014,4.2941400046393285,2.4191378460929758,-71.46624355301941,-15.47664919261778,-5.930577009356266,-3.9244827124596555,-11.016223906030524,116.70463587281172
2.3776214122772217,166.91343563918699,174.55680791433537,300.23190844089874,63.77956246555743,9.344190090586302,12.396371659482325,45.25862809409164,89.41612595577051,-16.092770062434575,18.768446299785094,-91.07373356345404,203.37438580833745
2.5051138401031494,167.2405081516921,174.5642766918401,299.6727504701403,65.01127205776622,2.5654269675661143,0.05858212626497438,-53.16992733306167,-96.77272402454204,-4.385813183524212,9.66104115524811,91.82472307213806,-71.43487107306336
2.6296439170837402,167.3351018788098,174.61494114986525,299.7225312513354,65.63258039214114,0.7596054656936801,0.40684515141711275,-14.501087172329367,2.796617761718869,0.3997490598426559,4.98922308119791,38.42896719732007,-37.515580069691495
